rank,title,url,angle,content_type,schema_used,notes
1,OAuth 2.0 Token Exchange (RFC 8693),https://www.rfc-editor.org/rfc/rfc8693,standards reference,doc,Article,"T2: token exchange for agents"
2,Demonstration of Proof-of-Possession (DPoP) (RFC 9449),https://www.rfc-editor.org/rfc/rfc9449,standards reference,doc,Article,"T3: DPoP agent PoP"
3,Rich Authorization Requests (RAR) (RFC 9396),https://www.rfc-editor.org/rfc/rfc9396,standards reference,doc,Article,"T2: purpose-bound scopes"
4,Curity Identity Server Standards Hub,https://curity.io/resources/standards,standards alignment,landing,Product,"T1: standards-focused IdP"
5,Auth0 DPoP best practices,https://auth0.com/docs/secure/tokens/token-best-practices/dpop-proof-of-possession,implementation guide,doc,Article,"T3: DPoP in practice"
6,Microsoft Entra ID DPoP,https://learn.microsoft.com/entra/identity-platform/dpop-proof-of-possession,implementation guide,doc,Article,"T3: DPoP in Entra"
7,OpenID Connect Core 1.0 — Pairwise Subject Identifier,https://openid.net/specs/openid-connect-core-1_0.html#PairwiseIdentifier,standards reference,doc,Article,"T2: pairwise identifiers"
8,OpenID Connect Core 1.0,https://openid.net/specs/openid-connect-core-1_0.html,standards reference,doc,Article,"T1: core overview"
9,Curity — OAuth 2.0 Token Exchange Guide,https://curity.io/resources/learn/oauth-token-exchange,implementation guide,doc,Article,"T3: TE in Curity"
10,Curity — Rich Authorization Requests (RAR),https://curity.io/resources/learn/rich-authorization-requests,implementation guide,doc,Article,"T3: RAR in Curity"
11,Okta — Pairwise Pseudonymous Identifiers,https://developer.okta.com/docs/guides/customize-tokens/overview/,product docs,doc,Article,"T3: Pseudonymous subjects"
12,Auth0 — Pairwise Subject Identifiers,https://auth0.com/docs/get-started/apis/scopes/openid-connect-scopes#subject-identifier-types,product docs,doc,Article,"T3: Subject identifier types"
13,Keycloak — DPoP overview,https://www.keycloak.org/docs/latest/securing_apps/#_dpop,product docs,doc,Article,"T3: DPoP in Keycloak"
14,Microsoft Identity Platform — OBO flow (context),https://learn.microsoft.com/entra/identity-platform/v2-oauth2-on-behalf-of-flow,reference flow,doc,Article,"Context: related to delegation"
