rank,title,url,angle,content_type,schema_used,notes
1,SailPoint — Identity Security,https://www.sailpoint.com/solutions/identity-security/,governance discovery,landing,Product,"T1: discovery"
2,Saviynt — Identity Governance,https://saviynt.com/solutions/identity-governance/,governance analytics,landing,Product,"T1: governance"
3,One Identity Manager,https://www.oneidentity.com/products/identity-manager/,iga platform,landing,Product,"T2: discovery/inventory"
4,ClickHouse — Intro,https://clickhouse.com/docs/en/overview/what-is-clickhouse,analytics engine,doc,Article,"T3: analytics backbone"
5,Apache Kafka — Intro,https://kafka.apache.org/documentation/,streaming backbone,doc,Article,"T3: freshness/delta"
6,Data Lineage Concepts,https://www.oreilly.com/library/view/data-lineage-from/9781098133546/,lineage overview,doc,Article,"T3: lineage background"
7,dbt — Lineage Graph,https://docs.getdbt.com/docs/build/data-lineage,lineage graph,doc,Article,"T3: lineage UI ref"
8,Neo4j — Graph for IAM,https://neo4j.com/use-cases/identity-access-management/,graph model,landing,Product,"T3: identity graph context"
9,Elastic — Data Ingest,https://www.elastic.co/guide/index.html,ingest pipelines,doc,Article,"T3: adjacent ingest"
10,Cribl Stream — Overview,https://cribl.io/stream/,observability pipelines,landing,Product,"T3: adjacent"
11,Snowflake — Streams & Tasks,https://docs.snowflake.com/en/user-guide/streams-intro,change data capture,doc,Article,"T3: CDC sink"
12,BigQuery — Streaming Inserts,https://cloud.google.com/bigquery/streaming-data-into-bigquery,streaming sink,doc,Article,"T3: sink"
13,SailPoint Docs,https://documentation.sailpoint.com/,docs hub,doc,Article,"T3: verify features"
14,Saviynt Docs,https://docs.saviyntcloud.com/,docs hub,doc,Article,"T3: verify features"
