rank,title,url,angle,content_type,schema_used,notes
1,Cerbos — Policy Outputs,https://docs.cerbos.dev/cerbos/latest/policies/outputs.html,explainability/outputs,doc,Article,"T2: obligations-like outputs"
2,Open Policy Agent — Docs,https://openpolicyagent.org/docs,policy engine overview,doc,Article,"T1: general policy engine"
3,Amazon Verified Permissions,https://aws.amazon.com/verified-permissions/,managed PDP,landing,Product,"T1: managed service"
4,Axiomatics — XACML Reference,https://axiomatics.com/resources/reference-library/extensible-access-control-markup-language-xacml,xacml obligations/advice,landing,Product,"T2: obligations/advice"
5,AuthZed — Consistency,https://authzed.com/docs/spicedb/concepts/consistency,consistency tokens,doc,Article,"T3: fga consistency"
6,Ory Keto — Overview,https://www.ory.sh/keto,zanzibar-inspired fga,landing,Product,"T2: fga checks"
7,Istio Authorization Policy,https://istio.io/latest/docs/reference/config/security/authorization-policy/,mesh policy layer,doc,Article,"T3: service mesh"
8,Envoy ext_authz Filter,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_filters/ext_authz_filter,external authorization,doc,Article,"T3: gateway integration"
9,OPA — Decision Logs,https://www.openpolicyagent.org/docs/latest/management-decision-logs/,observability/logs,doc,Article,"T3: decision logs"
10,OPA — Bundles,https://www.openpolicyagent.org/docs/latest/management-bundles/,policy distribution,doc,Article,"T3: bundles"
11,Cerbos — Schemas and Outputs,https://docs.cerbos.dev/cerbos/latest/policies/schemas.html,validation/outputs,doc,Article,"T3: validation scaffolding"
12,AWS AVP — Cedar Language,https://docs.aws.amazon.com/verified-permissions/latest/userguide/cedar-language.html,language semantics,doc,Article,"T2: allow/forbid model"
13,Axiomatics — Obligations vs Advice,https://www.axiomatics.com/blog/obligations-vs-advice/,obligations/advice,blog,Article,"T3: response enrichment"
14,Envoy — External Authz gRPC,https://www.envoyproxy.io/docs/envoy/latest/api-v3/service/auth/v3/external_auth.proto,proto reference,doc,Article,"T3: PEP↔PDP integration"
