rank,title,url,angle,content_type,schema_used,notes
1,Curity Token Handler,https://curity.io/product/token-handler/,spa cookies security,landing,Product,"T1: zero token spa"
2,MDN Web Docs — HttpOnly cookies,https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies,security best practice,doc,Article,"T2: httpOnly"
3,MDN Web Docs — Server-Sent Events (SSE),https://developer.mozilla.org/en-US/docs/Web/API/Server-sent_events/Using_server-sent_events,streaming fundamentals,doc,Article,"T3: streaming caps context"
4,Kong OIDC Plugin,https://docs.konghq.com/hub/kong-inc/openid-connect/,oidc plugin,doc,Article,"T2: gateway OIDC"
5,NGINX OIDC Auth,https://docs.nginx.com/nginx/admin-guide/security-controls/configuring-oauth-authentication/,oidc config,doc,Article,"T2: reverse proxy OIDC"
6,Cloudflare AI Gateway (adjacent),https://developers.cloudflare.com/ai-gateway/,ai gateway,doc,Article,"T3: adjacent controls"
7,OAuth 2.0 Threat Model — Cookies,https://datatracker.ietf.org/doc/html/rfc6819,security considerations,doc,Article,"T3: token handling"
8,OWASP — Sensitive Data Exposure,https://owasp.org/www-community/attacks/Sensitive_Data_Exposure,cookies vs tokens,doc,Article,"T3: risk context"
9,Streaming Best Practices,https://httpwg.org/specs/rfc9110.html,http semantics,doc,Article,"T3: partial content/stream"
10,Curity — Token Handler Deep Dive,https://curity.io/resources/learn/oauth-for-spa-without-sso-tricks,spa cookies deep dive,doc,Article,"T2: cookies pattern"
11,Kong — Rate Limiting,https://docs.konghq.com/hub/kong-inc/rate-limiting/,rate limiting,doc,Article,"T3: controls vs budgets"
12,NGINX — Rate Limiting,https://docs.nginx.com/nginx/admin-guide/security-controls/controlling-access-proxied-http/,rate limiting,doc,Article,"T3: controls vs budgets"
13,ARIA — Receipts (internal),/docs/services/aria-shield/receipt-chains.md,receipts chain,doc,Article,"T2: proof link"
14,ARIA — PDP Mapping (internal),/docs/services/bff/explanation/overview.md,pdp mapping,doc,Article,"T2: route mapping"
