rank,title,url,angle,content_type,schema_used,notes
1,Cloudflare AI Gateway,https://developers.cloudflare.com/ai-gateway/,ai gateway overview,doc,Product,"T1: gateway"
2,Portkey — Docs,https://www.portkey.ai/docs,observability/routing,doc,Article,"T2: gateway features"
3,Helicone — Docs,https://docs.helicone.ai/,oss gateway,doc,Article,"T2: open-source"
4,MDN — JSON Web Signature (JWS),https://www.rfc-editor.org/rfc/rfc7515,standards reference,doc,Article,"T3: plan JWS reference"
5,ETag and schema versioning,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/ETag,rollout integrity,doc,Article,"T3: pins/grace via caching"
6,Plan discipline and receipts (internal),/source_content/________aria_versus_aws_bedrock.md,plan/receipts,doc,Article,"T3: internal analysis"
7,Schema pinning primer,docs/website_copy/primers/primer_mcp_schema_pins.md,schema pins,doc,Article,"T2: internal primer"
8,Params allowlist primer,docs/website_copy/product_gateway.md,params/egress,doc,Article,"T2: product page refs"
9,Budget semantics (402) primer,docs/website_copy/product_bff.md,budgets/402,doc,Article,"T2: budget semantics"
10,Receipts primer,docs/website_copy/product_bff.md,receipts chain,doc,Article,"T2: receipts refs"
11,Portkey — SDK & Routing,https://www.portkey.ai/docs/sdk/introduction,sdk/routing,doc,Article,"T3: routing controls"
12,Helicone — Observability,https://docs.helicone.ai/introduction/why-helicone,observability,doc,Article,"T3: logging"
13,Cloudflare — Token Management,https://developers.cloudflare.com/ai-gateway/features/token-management/,token controls,doc,Article,"T2: provider tokens"
14,Cloudflare — Caching & Rate Limits,https://developers.cloudflare.com/ai-gateway/features/caching/,cache/limits,doc,Article,"T3: controls"
15,Cloudflare — Rate Limiting,https://developers.cloudflare.com/ai-gateway/features/rate-limiting/,limits,doc,Article,"T3: rate limits vs budgets"
16,Portkey — Observability,https://www.portkey.ai/docs/observability/overview,observability,doc,Article,"T2: observability depth"
